Number;Label;"Weighted All Degree of N1 (616)";"All closeness centrality in N1 (616)";"Betweenness centrality in N1 (616)";"Clustering Coefficients CC1 in N1 (616)";"Clustering Coefficients CC1' in N1 (616)";"Distribution of Distances in N1 (20)";"Centers in N1 [w,w] (616)"
386;opção;8;0,247430686;0,011161354;0,017857143;0,002695418;;0
387;organizado;4;0,258962077;0,003518272;0;0;;0
388;orla;4;0,242494413;0,004085403;0;0;;0
389;otima;1;0,220916910;0;999999998;999999998;;0
390;otimo;1;0,217864660;0;999999998;999999998;;0
391;out;10;0,212469613;0,016483010;0;0;;0
392;outro;37;0,308372917;0,070686737;0,013227513;0,006988120;;0
393;padaria;2;0,207630448;0,002675777;0;0;;0
394;padrão;14;0,292451909;0,018791077;0,088888889;0,016771488;;0
395;pagamento;4;0,213636601;0,002851334;0;0;;5,527272727
396;pagar;2;0,207630448;0,002860094;0;0;;0
397;pago;4;0,263167144;0,001843681;0,166666667;0,012578616;;0
398;palaace;2;0,246074044;0,001116632;0;0;;0
399;palace;9;0,251591875;0,001597418;0,083333333;0,006289308;;0
400;palace.o;2;0,266290077;0,001753649;0;0;;0
401;pao;2;0,199330905;0,001292339;0;0;;0
402;parcelar;1;0,208744744;0;999999998;999999998;;0
403;parecer;7;0,232076992;0,019058849;0;0;;0
404;parte;2;0,249974961;2,4698259E-4;0;0;;0
405;passar;2;0,185160761;0,005344418;0;0;;2
406;passeio;2;0,179741700;0,001765492;0;0;;0
407;pcs;2;0,205292596;0,001228432;0;0;;0
408;pedido;6;0,229791870;0,005751506;0;0;;0
409;pedir;2;0,155917039;0,002824372;0;0;;0
410;pegar;4;0,247220999;0,006278836;0;0;;0
411;pena;10;0,240495284;0,017755541;0;0;;0
412;pequeno;4;0,217864660;0,005142872;0;0;;0
413;perceber;2;0,216490374;0,001462652;0;0;;0
414;perfeito;3;0,250511618;0,001287042;0;0;;0
415;perto;15;0,287126751;0,028551946;0,072727273;0,015094340;;0
416;perímetro;2;0,238333970;7,7899267E-4;0;0;;0
417;período;10;0,284189751;0,029622104;0,013888889;0,002358491;;0
418;pesquisa;2;0,226579246;0,001409864;0;0;;0
419;pessoa;10;0,251266821;0,018749260;0;0;;61,830441838
420;piorar;2;0,193770029;0,001294987;0;0;;3
421;piso;2;0,197910976;0,004125950;0;0;;2
422;pleno;2;0,176746913;0,004297609;0;0;;0
423;plentry;2;0,208000556;0,001185507;0;0;;0
424;poder;15;0,265562840;0,028900874;0,004761905;0,001347709;;87,034267935
425;pois;4;0,227285375;0,002088455;0;0;;0
426;ponto;13;0,272763702;0,024536433;0,022727273;0,005145798;;0
427;por+os;2;0,253670243;0,001424750;0;0;;0
428;porque;3;0,119803195;0,002600567;0;0;;9
429;positivo;2;0,219009594;0;0,500000000;0,018867925;;0
430;possibilidade;4;0,234219815;0,004783525;0;0;;0
431;possibilitar;2;0,222432924;0,002215046;0;0;;0
432;possuir;1;0,227196869;0;999999998;999999998;;0
433;possível;3;0,158242896;0,005297794;0;0;;6,857142857
434;pouco;8;0,242293006;0,008517926;0;0;;0
435;pra;1;0,003246753;0;999999998;999999998;;0
436;praia;23;0,258388644;0,020417048;0,036363636;0,007547170;;0
437;praticamente;2;0,259884881;0,001298247;0;0;;0
438;prato;2;0,171853184;0;0;0;;0
439;preferir;1;0,203786783;0;999999998;999999998;;0
440;presenciar;2;0,209644829;0,001436090;0;0;;0
441;pressão;1;0,159323200;0;999999998;999999998;;0
442;prestado;1;0,143246147;0;999999998;999999998;;0
443;preço;27;0,308210015;0,066745195;0,009057971;0,004101723;;0
444;primeiro;4;0,221588135;0,002668870;0;0;;0
445;principalmente;6;0,247220999;0,006923595;0;0;;0
446;problema;2;0,192491441;0,003099788;0;0;;0
447;procurar;6;0,275598280;0,007531999;0,066666667;0,007547170;;0
448;produto;3;0,234502234;0,005794585;0;0;;0
449;propor;2;0,233283310;4,7653555E-4;0;0;;0
450;provavelmente;1;0,181193031;0;999999998;999999998;;0
451;proximidade;3;0,202513557;0,005317905;0;0;;0
452;proximo;4;0,239115393;0,001948449;0,166666667;0,009433962;;0
453;prá;1;0,152493873;0;999999998;999999998;;0
454;próximo;9;0,281855825;0,015445414;0,027777778;0,004716981;;0
455;pão;2;0,177878524;0,004389918;0;0;;0
456;pão-de;2;0,134837430;0,005545404;0;0;;2
457;pôr;8;0,266411671;0,013459952;0;0;;0
458;q;4;0,255671147;0,007434175;0;0;;0
459;qdo;2;0,153295207;0,001302932;0;0;;2
460;quadra;26;0,244424616;0,028648946;0,014285714;0,004043127;;65,309058167
461;qualidade;4;0,206674303;0,003972484;0;0;;0
462;qualquer;4;0,237171365;0,001424750;0;0;;0
463;quantum;7;0,285441076;0,003401340;0,023809524;0,003144654;;0
464;quarteirão;6;0,239704831;0,001334090;0,083333333;0,006289308;;0
465;quarto;31;0,300278723;0,065290528;0,015669516;0,007982583;;0
466;quase;5;0,236594306;0,003598783;0,050000000;0,004716981;;0
467;queijo;1;0,165515336;0;999999998;999999998;;0
468;quer;2;0,261867845;0;1;0,037735849;;0
469;querer;4;0,223369662;0,004290141;0;0;;0
